"Food_Code","Main_Food_Description","Subcode_Description","WWEIA_Category_Description","Portion_Description","Portion_Weight_(g)"
"55105205","pancakes, whole grain, reduced fat",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55105205","pancakes, whole grain, reduced fat",NA,"pancakes, waffles, french toast","small pancake","20"
"55105205","pancakes, whole grain, reduced fat",NA,"pancakes, waffles, french toast","medium pancake","50"
"55105205","pancakes, whole grain, reduced fat",NA,"pancakes, waffles, french toast","large pancake","90"
"55105205","pancakes, whole grain, reduced fat",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55105205","pancakes, whole grain, reduced fat",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55105205","pancakes, whole grain, reduced fat",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55106000","pancakes, gluten free",NA,"pancakes, waffles, french toast","miniature/bite size pancake","10"
"55106000","pancakes, gluten free",NA,"pancakes, waffles, french toast","silver dollar pancake","20"
"55106000","pancakes, gluten free",NA,"pancakes, waffles, french toast","small pancake","20"
"55106000","pancakes, gluten free",NA,"pancakes, waffles, french toast","medium pancake","50"
"55106000","pancakes, gluten free",NA,"pancakes, waffles, french toast","large pancake","90"
"55106000","pancakes, gluten free",NA,"pancakes, waffles, french toast","extra large pancake","150"
"55106000","pancakes, gluten free",NA,"pancakes, waffles, french toast","surface inch","1.9"
"55106000","pancakes, gluten free",NA,"pancakes, waffles, french toast","quantity not specified","100"
"55200010","waffle, nfs",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55200010","waffle, nfs",NA,"pancakes, waffles, french toast","small waffle","40"
"55200010","waffle, nfs",NA,"pancakes, waffles, french toast","medium waffle","75"
"55200010","waffle, nfs",NA,"pancakes, waffles, french toast","large waffle","125"
"55200010","waffle, nfs",NA,"pancakes, waffles, french toast","thick / belgian waffle","135"
"55200010","waffle, nfs",NA,"pancakes, waffles, french toast","surface inch","2.5"
"55200010","waffle, nfs",NA,"pancakes, waffles, french toast","surface inch, belgian waffle","3.7"
"55200010","waffle, nfs",NA,"pancakes, waffles, french toast","quantity not specified","75"
"55200020","waffle, plain, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55200020","waffle, plain, from frozen",NA,"pancakes, waffles, french toast","waffle","40"
"55200020","waffle, plain, from frozen",NA,"pancakes, waffles, french toast","thick / belgian waffle","55"
"55200020","waffle, plain, from frozen",NA,"pancakes, waffles, french toast","pouch","65"
"55200020","waffle, plain, from frozen",NA,"pancakes, waffles, french toast","stick","35"
"55200020","waffle, plain, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55200030","waffle, plain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55200030","waffle, plain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","waffle","40"
"55200030","waffle, plain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","thick / belgian waffle","55"
"55200030","waffle, plain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","pouch","65"
"55200030","waffle, plain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","stick","35"
"55200030","waffle, plain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55200040","waffle, fruit, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55200040","waffle, fruit, from frozen",NA,"pancakes, waffles, french toast","waffle","40"
"55200040","waffle, fruit, from frozen",NA,"pancakes, waffles, french toast","thick / belgian waffle","55"
"55200040","waffle, fruit, from frozen",NA,"pancakes, waffles, french toast","pouch","65"
"55200040","waffle, fruit, from frozen",NA,"pancakes, waffles, french toast","stick","35"
"55200040","waffle, fruit, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55200050","waffle, chocolate, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55200050","waffle, chocolate, from frozen",NA,"pancakes, waffles, french toast","waffle","40"
"55200050","waffle, chocolate, from frozen",NA,"pancakes, waffles, french toast","thick / belgian waffle","55"
"55200050","waffle, chocolate, from frozen",NA,"pancakes, waffles, french toast","pouch","65"
"55200050","waffle, chocolate, from frozen",NA,"pancakes, waffles, french toast","stick","35"
"55200050","waffle, chocolate, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55200060","waffle, whole grain, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55200060","waffle, whole grain, from frozen",NA,"pancakes, waffles, french toast","waffle","40"
"55200060","waffle, whole grain, from frozen",NA,"pancakes, waffles, french toast","thick / belgian waffle","55"
"55200060","waffle, whole grain, from frozen",NA,"pancakes, waffles, french toast","pouch","65"
"55200060","waffle, whole grain, from frozen",NA,"pancakes, waffles, french toast","stick","35"
"55200060","waffle, whole grain, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55200070","waffle, whole grain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55200070","waffle, whole grain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","waffle","40"
"55200070","waffle, whole grain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","thick / belgian waffle","55"
"55200070","waffle, whole grain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","pouch","65"
"55200070","waffle, whole grain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","stick","35"
"55200070","waffle, whole grain, reduced fat, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55200080","waffle, whole grain, fruit, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55200080","waffle, whole grain, fruit, from frozen",NA,"pancakes, waffles, french toast","waffle","40"
"55200080","waffle, whole grain, fruit, from frozen",NA,"pancakes, waffles, french toast","thick / belgian waffle","55"
"55200080","waffle, whole grain, fruit, from frozen",NA,"pancakes, waffles, french toast","pouch","65"
"55200080","waffle, whole grain, fruit, from frozen",NA,"pancakes, waffles, french toast","stick","35"
"55200080","waffle, whole grain, fruit, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55200090","waffle, gluten free, from frozen",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55200090","waffle, gluten free, from frozen",NA,"pancakes, waffles, french toast","waffle","40"
"55200090","waffle, gluten free, from frozen",NA,"pancakes, waffles, french toast","thick / belgian waffle","55"
"55200090","waffle, gluten free, from frozen",NA,"pancakes, waffles, french toast","pouch","65"
"55200090","waffle, gluten free, from frozen",NA,"pancakes, waffles, french toast","stick","35"
"55200090","waffle, gluten free, from frozen",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55200100","waffle, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55200100","waffle, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","small waffle","40"
"55200100","waffle, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","medium waffle","75"
"55200100","waffle, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","large waffle","125"
"55200100","waffle, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","thick / belgian waffle","135"
"55200100","waffle, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","surface inch","2.5"
"55200100","waffle, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","surface inch, belgian waffle","3.7"
"55200100","waffle, plain, from fast food / restaurant",NA,"pancakes, waffles, french toast","quantity not specified","75"
"55200110","waffle, chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55200110","waffle, chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","small waffle","40"
"55200110","waffle, chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","medium waffle","75"
"55200110","waffle, chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","large waffle","125"
"55200110","waffle, chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","thick / belgian waffle","135"
"55200110","waffle, chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","surface inch","2.5"
"55200110","waffle, chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","surface inch, belgian waffle","3.7"
"55200110","waffle, chocolate, from fast food / restaurant",NA,"pancakes, waffles, french toast","quantity not specified","75"
"55200120","waffle, fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55200120","waffle, fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","small waffle","40"
"55200120","waffle, fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","medium waffle","75"
"55200120","waffle, fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","large waffle","125"
"55200120","waffle, fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","thick / belgian waffle","135"
"55200120","waffle, fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","surface inch","2.5"
"55200120","waffle, fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","surface inch, belgian waffle","3.7"
"55200120","waffle, fruit, from fast food / restaurant",NA,"pancakes, waffles, french toast","quantity not specified","75"
"55200130","waffle, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55200130","waffle, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","small waffle","40"
"55200130","waffle, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","medium waffle","75"
"55200130","waffle, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","large waffle","125"
"55200130","waffle, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","thick / belgian waffle","135"
"55200130","waffle, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","surface inch","2.5"
"55200130","waffle, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","surface inch, belgian waffle","3.7"
"55200130","waffle, whole grain, from fast food / restaurant",NA,"pancakes, waffles, french toast","quantity not specified","75"
"55200200","waffle, from school, nfs",NA,"pancakes, waffles, french toast","waffle, any size","40"
"55200200","waffle, from school, nfs",NA,"pancakes, waffles, french toast","surface inch","2.5"
"55200200","waffle, from school, nfs",NA,"pancakes, waffles, french toast","surface inch, belgian waffle","3.7"
"55200200","waffle, from school, nfs",NA,"pancakes, waffles, french toast","quantity not specified","80"
"55201000","waffle, plain",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55201000","waffle, plain",NA,"pancakes, waffles, french toast","small waffle","40"
"55201000","waffle, plain",NA,"pancakes, waffles, french toast","medium waffle","75"
"55201000","waffle, plain",NA,"pancakes, waffles, french toast","large waffle","125"
"55201000","waffle, plain",NA,"pancakes, waffles, french toast","thick / belgian waffle","135"
"55201000","waffle, plain",NA,"pancakes, waffles, french toast","surface inch","2.5"
"55201000","waffle, plain",NA,"pancakes, waffles, french toast","surface inch, belgian waffle","3.7"
"55201000","waffle, plain",NA,"pancakes, waffles, french toast","quantity not specified","75"
"55203000","waffle, fruit",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55203000","waffle, fruit",NA,"pancakes, waffles, french toast","small waffle","40"
"55203000","waffle, fruit",NA,"pancakes, waffles, french toast","medium waffle","75"
"55203000","waffle, fruit",NA,"pancakes, waffles, french toast","large waffle","125"
"55203000","waffle, fruit",NA,"pancakes, waffles, french toast","thick / belgian waffle","135"
"55203000","waffle, fruit",NA,"pancakes, waffles, french toast","surface inch","2.5"
"55203000","waffle, fruit",NA,"pancakes, waffles, french toast","surface inch, belgian waffle","3.7"
"55203000","waffle, fruit",NA,"pancakes, waffles, french toast","quantity not specified","75"
"55203600","waffle, chocolate",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55203600","waffle, chocolate",NA,"pancakes, waffles, french toast","small waffle","40"
"55203600","waffle, chocolate",NA,"pancakes, waffles, french toast","medium waffle","75"
"55203600","waffle, chocolate",NA,"pancakes, waffles, french toast","large waffle","125"
"55203600","waffle, chocolate",NA,"pancakes, waffles, french toast","thick / belgian waffle","135"
"55203600","waffle, chocolate",NA,"pancakes, waffles, french toast","surface inch","2.5"
"55203600","waffle, chocolate",NA,"pancakes, waffles, french toast","surface inch, belgian waffle","3.7"
"55203600","waffle, chocolate",NA,"pancakes, waffles, french toast","quantity not specified","75"
"55203700","waffle, cinnamon",NA,"pancakes, waffles, french toast","miniature/bite size waffle","10"
"55203700","waffle, cinnamon",NA,"pancakes, waffles, french toast","small waffle","40"
